WD,WLC,WLA,WIA,TD,TI,UCS,MTL,TN,ATI,TBD
1,1,0,0,1.36,1.29,52.64,0.2,2,0.68,11
4,1,10.1,12.35,99.12,26.89,10.2,0.5,7,0.55,20
3,3,8.9,10.23,63.44,18.64,32,1.2,15,0.32,40
2,2,4.3,6.01,35.66,11.56,50.56,1.7,18,0.1,350
2,1,0,0,2.36,3.57,60.25,1.4,14,0.18,221
4,4,12.35,11.68,106.53,24.28,4.66,1.7,17,0.12,290
4,4,10.32,8.67,70.23,17.83,17.58,0.4,9,0.57,42
3,3,3.62,4.56,41.66,10.24,35.84,1.4,14,0.17,213
2,2,2.18,1.25,10.36,3.57,43.65,1.8,19,0.09,310
2,1,0.23,0,1.65,1.28,66.85,1.77,18,0.136,360
4,4,12.66,11.35,106.23,27.34,5.24,1.86,17,0.139,365
3,3,9.56,7.54,72.65,19.54,22.31,1.1,8,0.51,113
2,2,6.48,3.56,43.24,12.58,37.58,1.42,13,0.08,180
2,1,2.56,1.03,18.23,6.27,45.66,1.89,19,0.11,320
2,1,0,0,6.25,2.54,57.12,1.88,18,0.17,264
4,5,13.67,12.34,99.37,19.85,3.24,1.87,16,0.15,246
3,4,10.25,8.64,65.56,16.24,15.54,1.2,9,0.59,159
3,4,6.45,4.87,34.87,9.56,32.57,1.4,12,0.38,256
2,3,2.57,2.25,6.87,6.27,44.87,1.85,17,0.08,310
2,2,0.28,0.26,2.54,1.54,59.64,1.8,20,0.05,341
3,3,7.28,9.64,95.64,27.35,12.35,0.98,8,0.5,25
2,4,8.03,10.24,102.36,23.65,15.37,0.98,6,0.56,26
2,2,6.04,8.32,67.28,17.65,26.54,1.4,13,0.21,146
3,3,6.22,8.97,68.99,16.32,35.68,1.35,12,0.19,186
2,3,6.33,9.32,64.67,15.89,34.67,1.39,16,0.23,254
2,1,6.47,8.16,65.61,17.85,38.97,1.38,16,0.15,264
3,2,5.12,6.21,63.27,18.67,34.79,1.37,14,0.16,229
2,2,2.13,3.46,29.85,8.2,46.97,1.75,19,0.09,257
2,1,2.16,3.48,30.57,7.36,47.34,1.78,18,0.08,267
3,1,1.56,3.57,28.78,9.67,42.38,1.77,19,0.1,211
2,2,1.89,3.21,25.34,8.34,49.34,1.79,17,0.11,247
3,2,1.87,3.64,24.37,7.35,50.64,1.78,16,0.12,198
2,2,2.57,4.25,33.57,6.35,51.27,1.76,18,0.08,196
2,1,2.97,3.47,32.48,6.57,49.37,1.79,19,0.07,235
2,1,2.39,3.01,34.68,3.24,47.34,1.72,17,0.072,247
2,1,0,1.24,10.23,2.38,55.34,1.43,14,0.19,195
2,1,0,1.34,14.85,1.26,56.89,1.88,19,0.111,199
2,1,0,1.65,13.64,3.57,60.24,1.46,14,0.21,201
2,1,0.25,0,16.44,1.67,61.34,1.76,18,0.06,312
3,3,6.24,6.21,71.36,11.28,34.29,1.53,12,0.16,204
4,3,6.26,5.26,72.38,12.37,29.64,1.51,11,0.17,201
4,1,3.01,2.31,24.67,3.68,48.24,1.74,19,0.092,215
